ROW_ID,temp_cpu,temp_h,temp_p,humidity,pressure,pitch,roll,yaw,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,reset,time_stamp
1,35.51,26.85,26.03,60.5,1021.76,359.05,359.86,258.99,-3.496344,23.459245,69.476236,0.015697,-0.002796,1.033065,6.7E-05,-0.002933,0.000165,20,2015-08-20 23:58:30
2,35.44,26.85,26.03,60.48,1021.75,359.17,359.84,259.67,-3.378404,24.551461,72.804552,0.015458,-0.003027,1.033115,6.4E-05,-0.003212,-8.8E-05,0,2015-08-20 23:58:40
3,35.29,26.86,26.03,60.43,1021.74,359.09,359.83,260.03,-3.305794,24.791753,72.706349,0.015557,-0.003,1.033137,7.5E-05,0.001377,0.000236,0,2015-08-20 23:58:51
4,35.31,26.86,26.02,60.46,1021.73,359,359.83,259.99,-3.348799,24.750332,72.852824,0.015229,-0.002994,1.033215,-0.000161,-0.00426,0.000231,0,2015-08-20 23:59:00
5,35.2,26.87,26.02,60.45,1021.71,358.88,359.83,260.18,-3.181526,24.511328,73.353489,0.015376,-0.002914,1.03318,-0.000129,-0.000401,0.000372,0,2015-08-20 23:59:10
6,35.19,26.86,26.01,60.41,1021.7,359.09,359.83,259.8,-3.417792,24.675047,73.316864,0.015408,-0.002968,1.033342,-0.000276,-0.000147,0.000328,0,2015-08-20 23:59:21
7,35.18,26.84,26,60.25,1021.72,359.01,359.83,259.93,-3.349212,24.626685,73.073295,0.01535,-0.003048,1.033358,-0.000154,-0.002341,0.000268,0,2015-08-20 23:59:30
8,35.19,26.83,25.99,60.42,1021.73,359.08,359.84,259.79,-3.381261,24.620474,73.575225,0.015189,-0.003097,1.033306,0.000188,-0.00162,0.000287,0,2015-08-20 23:59:40
9,35.28,26.83,25.98,60.19,1021.7,358.96,359.82,260.18,-3.147849,24.43208,73.446467,0.015451,-0.003035,1.033293,-0.00014,-0.00511,0.000312,0,2015-08-20 23:59:51
10,35.19,26.82,25.98,60.44,1021.7,358.97,359.83,260.32,-3.195352,24.66768,72.958639,0.015323,-0.002962,1.033387,8.8E-05,-0.001777,0.000219,0,2015-08-21 00:00:00
11,35.16,26.82,25.97,60.22,1021.71,359,359.84,260.33,-3.153552,24.64321,72.627442,0.015381,-0.003061,1.033299,0.000116,-0.000928,0.000132,0,2015-08-21 00:00:10
12,35.22,26.81,25.96,60.27,1021.71,359.05,359.84,260.54,-3.03426,24.522119,73.103316,0.015344,-0.00291,1.033342,0.000185,-0.001455,0.000208,0,2015-08-21 00:00:21
13,35.16,26.79,25.95,60.35,1021.68,359.05,359.83,260.64,-3.004679,24.426031,73.092046,0.015435,-0.00306,1.033424,-0.00012,-0.003534,0.000101,0,2015-08-21 00:00:30
14,35.25,26.78,25.94,60.18,1021.68,359.04,359.82,260.15,-3.170961,24.406614,72.785075,0.015318,-0.003039,1.033418,-0.000142,-0.002145,0.00015,0,2015-08-21 00:00:40
15,35.15,26.77,25.93,60.25,1021.69,359.06,359.83,260.12,-3.244038,24.381519,73.062767,0.015356,-0.002983,1.033474,-0.000175,-0.003213,0.000365,0,2015-08-21 00:00:51
16,35.11,26.77,25.92,60.22,1021.68,359.12,359.82,260.03,-3.25137,24.260559,73.192598,0.01522,-0.003077,1.033503,-0.000245,-0.000409,0.000328,0,2015-08-21 00:01:00
17,35.13,26.77,25.91,60.12,1021.68,359.09,359.82,260.17,-3.155604,24.324241,73.332255,0.015302,-0.002967,1.03339,-0.000197,-0.002256,0.000519,0,2015-08-21 00:01:10
18,35.14,26.76,25.9,60.22,1021.69,359.01,359.83,259.94,-3.318019,24.492361,73.319657,0.015177,-0.003026,1.033368,-5.2E-05,-0.001164,0.000362,0,2015-08-21 00:01:21
19,35.13,26.75,25.89,60.31,1021.71,359.02,359.84,260.12,-3.206067,24.53011,73.098764,0.015261,-0.003009,1.033622,9E-05,0.000259,-2.2E-05,0,2015-08-21 00:01:30
20,35.13,26.73,25.88,60.32,1021.69,359.13,359.82,260.37,-3.098253,24.431111,73.199162,0.015168,-0.003023,1.033481,-0.000182,-0.000298,-2.9E-05,0,2015-08-21 00:01:40
21,35.02,26.73,25.88,60.13,1021.7,359.12,359.84,259.76,-3.435221,24.629206,73.130794,0.015245,-0.002949,1.033513,0.00023,-0.001867,-0.000109,0,2015-08-21 00:01:51
22,35.09,26.73,25.87,60.2,1021.69,359.1,359.82,259.91,-3.357536,24.717385,73.08768,0.015248,-0.003078,1.033538,-0.000134,-0.003011,0.000298,0,2015-08-21 00:02:00
23,35.06,26.7,25.86,60.18,1021.7,359.15,359.83,259.77,-3.407111,24.728521,73.024572,0.015252,-0.003009,1.033468,-9.9E-05,4.5E-05,9.1E-05,0,2015-08-21 00:02:10
24,35.11,26.71,25.85,60.11,1021.72,359.13,359.84,259.97,-3.345507,24.87647,73.152491,0.015303,-0.002995,1.033482,0.00035,-0.000861,3.2E-05,0,2015-08-21 00:02:21
25,35,26.7,25.84,60.11,1021.71,359.16,359.84,259.71,-3.485305,24.840918,73.139562,0.01526,-0.003084,1.033584,-9.6E-05,0.001542,2.9E-05,0,2015-08-21 00:02:30
26,35.02,26.69,25.84,60.07,1021.72,359.15,359.85,260.21,-3.225585,24.864142,73.079026,0.015218,-0.003015,1.03343,0.000285,-0.001213,1.6E-05,0,2015-08-21 00:02:40
